sku,descricao,categoria,marca,nota_olfativa,preco_tabela,custo_unitario,unidade,ativo,data_lancamento
SKU00212,Zahir Patchouli Hidratante Corporal KIT 3,Hidratante Corporal,Zahir,Patchouli,85.34,53.35,KIT 3,S,2025-12-19
SKU00213,Layali Patchouli Hidratante Corporal UN,Hidratante Corporal,Layali,Patchouli,55.69,35.69,UN,S,
SKU00214,Rihan Açafrão Hidratante Corporal KIT 3,Hidratante Corporal,Rihan,Açafrão,69.52,42.46,KIT 3,S,2026-02-10
SKU00215,Rihan Cedro Hidratante Corporal UN,Hidratante Corporal,Rihan,Cedro,32.46,20.42,UN,S,
SKU00216,Zahir Sândalo Hidratante Corporal CX 12,Hidratante Corporal,Zahir,Sândalo,31.58,21.35,CX 12,S,2026-01-17
SKU00217,Rihan Oud Hidratante Corporal UN,Hidratante Corporal,Rihan,Oud,45.09,29.59,UN,S,
SKU00218,Rihan Almíscar Hidratante Corporal CX 12,Hidratante Corporal,Rihan,Almíscar,55.67,33.95,CX 12,S,2025-09-06
SKU00219,Rihan Incenso Hidratante Corporal DISPLAY 24,Hidratante Corporal,Rihan,Incenso,32.04,20.76,DISPLAY 24,S,
SKU00220,Layali Rosa Hidratante Corporal UN,Hidratante Corporal,Layali,Rosa,65.80,44.42,UN,S,2026-02-19
SKU00221,Zahir Rosa Hidratante Corporal KIT 5,Hidratante Corporal,Zahir,Rosa,63.34,39.62,KIT 5,S,
SKU00222,Layali Açafrão Hidratante Corporal UN,Hidratante Corporal,Layali,Açafrão,48.47,31.98,UN,S,
SKU00223,Zahir Baunilha Hidratante Corporal KIT 5,Hidratante Corporal,Zahir,Baunilha,59.35,35.93,KIT 5,S,
SKU00224,Rihan Cardamomo Hidratante Corporal UN,Hidratante Corporal,Rihan,Cardamomo,83.98,51.58,UN,S,
SKU00225,Layali Cardamomo Hidratante Corporal DISPLAY 24,Hidratante Corporal,Layali,Cardamomo,84.23,53.23,DISPLAY 24,S,2025-01-28
SKU00226,Sahra Almíscar Incenso CX 12,Incenso,Sahra,Almíscar,44.66,22.27,CX 12,S,
SKU00227,Qamar Incenso Incenso DISPLAY 24,Incenso,Qamar,Incenso,18.93,9.94,DISPLAY 24,S,
SKU00228,Sahra Âmbar Incenso DISPLAY 24,Incenso,Sahra,Âmbar,24.33,11.57,DISPLAY 24,S,2025-02-16
SKU00229,Sahra Açafrão Incenso CX 12,Incenso,Sahra,Açafrão,44.32,22.73,CX 12,S,
SKU00230,Bayt Al Oud Âmbar Incenso CX 12,Incenso,Bayt Al Oud,Âmbar,64.62,33.71,CX 12,S,
SKU00231,Qamar Açafrão Incenso KIT 3,Incenso,Qamar,Açafrão,41.53,20.35,KIT 3,S,
SKU00232,Qamar Rosa Incenso DISPLAY 24,Incenso,Qamar,Rosa,49.40,26.50,DISPLAY 24,S,
SKU00233,Bayt Al Oud Oud Incenso KIT 5,Incenso,Bayt Al Oud,Oud,46.48,22.50,KIT 5,S,
SKU00234,Qamar Jasmim Incenso CX 6,Incenso,Qamar,Jasmim,41.22,20.62,CX 6,S,
SKU00235,Sahra Jasmim Incenso KIT 3,Incenso,Sahra,Jasmim,66.46,35.18,KIT 3,N,
SKU00236,Bayt Al Oud Jasmim Incenso KIT 3,Incenso,Bayt Al Oud,Jasmim,45.73,23.85,KIT 3,S,
SKU00237,Qamar Cedro Incenso CX 6,Incenso,Qamar,Cedro,60.11,29.39,CX 6,S,2025-04-18
SKU00238,Sahra Patchouli Incenso DISPLAY 24,Incenso,Sahra,Patchouli,51.05,25.07,DISPLAY 24,S,
SKU00239,Qamar Patchouli Incenso KIT 5,Incenso,Qamar,Patchouli,15.33,7.97,KIT 5,S,
SKU00240,Sahra Rosa Incenso CX 12,Incenso,Sahra,Rosa,16.11,8.55,CX 12,S,
SKU00241,Bayt Al Oud Sândalo Incenso CX 6,Incenso,Bayt Al Oud,Sândalo,28.02,12.90,CX 6,S,
SKU00242,Bayt Al Oud Açafrão Incenso DISPLAY 24,Incenso,Bayt Al Oud,Açafrão,50.13,25.32,DISPLAY 24,S,
SKU00243,Bayt Al Oud Incenso Incenso KIT 5,Incenso,Bayt Al Oud,Incenso,53.55,26.58,KIT 5,S,
SKU00244,Bayt Al Oud Rosa Incenso KIT 5,Incenso,Bayt Al Oud,Rosa,40.39,19.28,KIT 5,S,
SKU00245,Bayt Al Oud Incenso Incenso KIT 5,Incenso,Bayt Al Oud,Incenso,31.14,16.02,KIT 5,S,
SKU00246,Sahra Cedro Incenso CX 12,Incenso,Sahra,Cedro,46.42,22.50,CX 12,S,
SKU00247,Sahra Cedro Incenso UN,Incenso,Sahra,Cedro,59.96,31.96,UN,N,
SKU00248,Qamar Baunilha Água Perfumada UN,Água Perfumada,Qamar,Baunilha,59.28,31.55,UN,S,
SKU00249,Qamar Sândalo Água Perfumada KIT 3,Água Perfumada,Qamar,Sândalo,105.39,63.97,KIT 3,S,
SKU00250,Qamar Rosa Água Perfumada DISPLAY 24,Água Perfumada,Qamar,Rosa,69.13,39.29,DISPLAY 24,S,2025-09-12
SKU00251,Qamar Rosa Água Perfumada CX 12,Água Perfumada,Qamar,Rosa,55.89,32.30,CX 12,S,
SKU00252,Qamar Oud Água Perfumada UN,Água Perfumada,Qamar,Oud,100.47,53.31,UN,S,
SKU00253,Qamar Sândalo Água Perfumada KIT 3,Água Perfumada,Qamar,Sândalo,122.40,65.54,KIT 3,S,
SKU00254,Qamar Cedro Água Perfumada DISPLAY 24,Água Perfumada,Qamar,Cedro,113.38,62.04,DISPLAY 24,S,
SKU00255,Attar Real Sândalo Água Perfumada KIT 5,Água Perfumada,Attar Real,Sândalo,160.17,95.73,KIT 5,S,
SKU00256,Attar Real Incenso Água Perfumada KIT 5,Água Perfumada,Attar Real,Incenso,70.21,40.51,KIT 5,S,
SKU00257,Attar Real Âmbar Água Perfumada UN,Água Perfumada,Attar Real,Âmbar,89.72,50.25,UN,S,
SKU00258,Qamar Cedro Água Perfumada CX 12,Água Perfumada,Qamar,Cedro,134.63,73.13,CX 12,S,
SKU00259,Mizan Cardamomo Água Perfumada CX 12,Água Perfumada,Mizan,Cardamomo,55.57,30.88,CX 12,S,
SKU00260,Mizan Oud Água Perfumada DISPLAY 24,Água Perfumada,Mizan,Oud,119.32,72.11,DISPLAY 24,S,
SKU00261,Mizan Cedro Água Perfumada CX 6,Água Perfumada,Mizan,Cedro,140.01,75.87,CX 6,S,
SKU00262,Attar Real Cedro Água Perfumada KIT 3,Água Perfumada,Attar Real,Cedro,153.25,92.91,KIT 3,S,
SKU00263,Mizan Incenso Água Perfumada DISPLAY 24,Água Perfumada,Mizan,Incenso,128.31,70.70,DISPLAY 24,S,
SKU00264,Mizan Oud Água Perfumada CX 12,Água Perfumada,Mizan,Oud,138.37,73.87,CX 12,S,
SKU00265,Attar Real Baunilha Água Perfumada KIT 3,Água Perfumada,Attar Real,Baunilha,64.75,35.08,KIT 3,S,2025-04-13
SKU00266,Mizan Cedro Água Perfumada CX 12,Água Perfumada,Mizan,Cedro,122.02,68.23,CX 12,S,
SKU00267,Qamar Patchouli Água Perfumada KIT 5,Água Perfumada,Qamar,Patchouli,152.91,87.35,KIT 5,N,
SKU00268,Qamar Almíscar Água Perfumada DISPLAY 24,Água Perfumada,Qamar,Almíscar,85.03,51.00,DISPLAY 24,S,
SKU00269,Attar Real Baunilha Água Perfumada DISPLAY 24,Água Perfumada,Attar Real,Baunilha,56.32,29.91,DISPLAY 24,S,
SKU00270,Mizan Cardamomo Água Perfumada CX 12,Água Perfumada,Mizan,Cardamomo,120.35,73.28,CX 12,N,
SKU00271,Qamar Açafrão Água Perfumada CX 6,Água Perfumada,Qamar,Açafrão,125.64,71.19,CX 6,S,
SKU00272,Qamar Açafrão Água Perfumada UN,Água Perfumada,Qamar,Açafrão,67.70,40.72,UN,S,
SKU00273,Attar Real Açafrão Água Perfumada UN,Água Perfumada,Attar Real,Açafrão,136.29,79.78,UN,N,2025-05-10
SKU00274,Nadir Cardamomo Água Perfumada UN,Água Perfumada,Nadir,Cardamomo,127.89,72.62,UN,S,
SKU00275,Mizan Oud Água Perfumada CX 6,Água Perfumada,Mizan,Oud,72.75,38.96,CX 6,S,
SKU00276,Attar Real Patchouli Água Perfumada KIT 5,Água Perfumada,Attar Real,Patchouli,163.94,90.92,KIT 5,S,
SKU00277,Qamar Oud Água Perfumada KIT 3,Água Perfumada,Qamar,Oud,92.87,52.38,KIT 3,S,2025-01-07
SKU00278,Bayt Al Oud Patchouli Sabonete Artesanal CX 6,Sabonete Artesanal,Bayt Al Oud,Patchouli,39.60,23.98,CX 6,S,2025-06-23
SKU00279,Bayt Al Oud Patchouli Sabonete Artesanal CX 6,Sabonete Artesanal,Bayt Al Oud,Patchouli,37.93,23.87,CX 6,S,
SKU00280,Rihan Oud Sabonete Artesanal CX 12,Sabonete Artesanal,Rihan,Oud,45.88,29.19,CX 12,S,
SKU00281,Bayt Al Oud Âmbar Sabonete Artesanal KIT 3,Sabonete Artesanal,Bayt Al Oud,Âmbar,19.51,12.10,KIT 3,S,2024-11-26
SKU00282,Rihan Sândalo Sabonete Artesanal CX 6,Sabonete Artesanal,Rihan,Sândalo,23.09,14.61,CX 6,S,
SKU00283,Bayt Al Oud Baunilha Sabonete Artesanal KIT 3,Sabonete Artesanal,Bayt Al Oud,Baunilha,52.79,30.23,KIT 3,S,
SKU00284,Bayt Al Oud Sândalo Sabonete Artesanal KIT 3,Sabonete Artesanal,Bayt Al Oud,Sândalo,51.66,32.38,KIT 3,S,2025-03-22
SKU00285,Bayt Al Oud Cardamomo Sabonete Artesanal KIT 3,Sabonete Artesanal,Bayt Al Oud,Cardamomo,33.59,18.86,KIT 3,S,
SKU00286,Bayt Al Oud Baunilha Sabonete Artesanal DISPLAY 24,Sabonete Artesanal,Bayt Al Oud,Baunilha,36.98,22.42,DISPLAY 24,S,
SKU00287,Bayt Al Oud Oud Sabonete Artesanal KIT 5,Sabonete Artesanal,Bayt Al Oud,Oud,35.41,21.22,KIT 5,S,
SKU00288,Bayt Al Oud Âmbar Sabonete Artesanal KIT 5,Sabonete Artesanal,Bayt Al Oud,Âmbar,52.41,32.75,KIT 5,S,
SKU00289,Bayt Al Oud Jasmim Sabonete Artesanal DISPLAY 24,Sabonete Artesanal,Bayt Al Oud,Jasmim,22.98,12.92,DISPLAY 24,S,
SKU00290,Rihan Patchouli Sabonete Artesanal KIT 5,Sabonete Artesanal,Rihan,Patchouli,22.96,13.78,KIT 5,S,
SKU00291,Rihan Rosa Sabonete Artesanal UN,Sabonete Artesanal,Rihan,Rosa,37.40,23.38,UN,S,
SKU00292,Bayt Al Oud Almíscar Sabonete Artesanal CX 6,Sabonete Artesanal,Bayt Al Oud,Almíscar,49.53,29.28,CX 6,S,2025-10-24
